# temperature rho_g rho_l
7.399999999999999911e-01 3.749999999999999861e-02 4.724999999999999756e-01
8.000000000000000444e-01 3.749999999999999861e-02 6.975000000000000089e-01
8.599999999999999867e-01 3.749999999999999861e-02 4.724999999999999756e-01
9.000000000000000222e-01 5.249999999999999806e-02 6.225000000000000533e-01
9.399999999999999467e-01 6.750000000000000444e-02 5.925000000000000266e-01
9.799999999999999822e-01 8.249999999999999001e-02 5.474999999999999867e-01
1.000000000000000000e+00 1.124999999999999889e-01 4.724999999999999756e-01
1.020000000000000018e+00 1.275000000000000022e-01 4.724999999999999756e-01
1.040000000000000036e+00 1.724999999999999867e-01 2.924999999999999822e-01
1.060000000000000053e+00 2.324999999999999845e-01 2.924999999999999822e-01
